[19:16:46] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[19:16:50] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[19:16:50] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[19:16:50] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[19:16:50] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[19:16:50] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[19:16:50] [main/INFO]: Reloading ResourceManager: Default
[19:16:54] [Worker-Main-10/INFO]: Loaded 7 recipes
[19:16:57] [Worker-Main-10/INFO]: Loaded 1137 advancements
[19:17:04] [Server thread/INFO]: Starting minecraft server version 1.17
[19:17:04] [Server thread/INFO]: Loading properties
[19:17:04] [Server thread/INFO]: Default game type: SURVIVAL
[19:17:04] [Server thread/INFO]: Generating keypair
[19:17:05] [Server thread/INFO]: Starting Minecraft server on *:25565
[19:17:05] [Server thread/INFO]: Using epoll channel type
[19:17:06] [Server thread/INFO]: Preparing level "world"
[19:17:07] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[19:17:20] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[19:17:41] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[19:17:43] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[19:17:43] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[19:17:43] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[19:17:43] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[19:17:43] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[19:17:43] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[19:17:43] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[19:17:43] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[19:17:43] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[19:17:43] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[19:17:43] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[19:17:43] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[19:17:43] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[19:17:43] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[19:17:43] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[19:17:43] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[19:17:43] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[19:17:43] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[19:17:43] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[19:17:43] [Worker-Main-13/INFO]: Preparing spawn area: 0%
