[13:51:54] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[13:51:56] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[13:51:56] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[13:51:56] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[13:51:56] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[13:51:56] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[13:51:56] [main/INFO]: Reloading ResourceManager: Default
[13:51:58] [Worker-Main-12/INFO]: Loaded 7 recipes
[13:52:00] [Worker-Main-12/INFO]: Loaded 1137 advancements
[13:52:04] [Server thread/INFO]: Starting minecraft server version 1.17
[13:52:04] [Server thread/INFO]: Loading properties
[13:52:04] [Server thread/INFO]: Default game type: SURVIVAL
[13:52:04] [Server thread/INFO]: Generating keypair
[13:52:05] [Server thread/INFO]: Starting Minecraft server on *:25565
[13:52:05] [Server thread/INFO]: Using epoll channel type
[13:52:06] [Server thread/INFO]: Preparing level "world"
[13:52:22] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[13:52:24] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[13:52:24] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[13:52:24] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[13:52:24] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[13:52:24] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[13:52:24] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[13:52:25] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[13:52:25] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[13:52:26] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[13:52:26] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[13:52:27] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[13:52:27] [Worker-Main-13/INFO]: Preparing spawn area: 1%
[13:52:28] [Worker-Main-10/INFO]: Preparing spawn area: 1%
[13:52:29] [Worker-Main-14/INFO]: Preparing spawn area: 1%
[13:52:29] [Worker-Main-14/INFO]: Preparing spawn area: 1%
[13:52:29] [Worker-Main-14/INFO]: Preparing spawn area: 2%
[13:52:30] [Worker-Main-10/INFO]: Preparing spawn area: 3%
[13:52:30] [Worker-Main-9/INFO]: Preparing spawn area: 3%
[13:52:31] [Worker-Main-13/INFO]: Preparing spawn area: 3%
[13:52:31] [Worker-Main-13/INFO]: Preparing spawn area: 3%
